CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_enc,Gender_enc,Cluster,DBSCAN
799,France,Female,22,8,174185.98,2,0,1,192633.85,0,0,0,3,-1
747,Spain,Female,41,5,94521.17,2,1,0,194926.86,0,2,0,1,-1
687,Spain,Female,44,7,0.0,3,1,0,155853.52,1,2,0,1,-1
511,France,Male,58,0,149117.31,1,1,1,162599.51,0,0,1,0,-1
438,Germany,Male,31,8,78398.69,1,1,0,44937.01,0,1,1,0,-1
652,France,Female,80,4,0.0,2,1,1,188603.07,0,0,0,1,-1
805,Spain,Female,39,5,165272.13,1,1,0,14109.85,1,2,0,3,-1
613,France,Female,45,1,187841.99,2,1,1,147224.27,0,0,0,0,-1
850,Spain,Female,57,8,126776.3,2,1,1,132298.49,0,2,0,0,-1
443,Germany,Female,29,9,99027.61,2,1,0,10940.4,0,1,0,1,-1
640,Germany,Female,75,1,106307.91,2,0,1,113428.77,0,1,0,0,-1
745,Germany,Male,45,10,117231.63,3,1,1,122381.02,1,1,1,1,-1
687,Spain,Female,39,2,0.0,3,0,0,188150.6,1,2,0,1,-1
492,Germany,Female,30,10,77168.87,2,0,1,146700.22,0,1,0,1,-1
560,France,Female,66,9,0.0,1,1,1,15928.49,0,0,0,1,-1
544,France,Female,21,10,161525.96,2,1,0,9262.77,0,0,0,2,-1
752,Germany,Male,38,3,183102.29,1,1,1,71557.12,0,1,1,3,-1
557,France,Male,33,3,54503.55,1,1,1,371.05,0,0,1,0,-1
751,Spain,Male,52,8,0.0,2,0,1,179291.85,0,2,1,1,-1
443,Spain,Male,36,6,70438.01,2,0,1,56937.43,0,2,1,0,-1
693,Germany,Female,41,9,181461.48,3,1,1,187929.43,1,1,0,0,-1
487,Germany,Female,61,5,110368.03,1,0,0,11384.45,1,1,0,2,-1
568,Germany,Male,40,1,99282.63,1,0,0,134600.94,1,1,1,0,-1
516,France,Male,35,10,104088.59,2,0,0,119666.0,0,0,1,2,-1
800,France,Female,38,2,168190.33,2,1,0,68052.08,0,0,0,3,-1
778,Spain,Female,47,6,127299.34,2,1,0,124694.99,0,2,0,2,-1
850,France,Male,40,9,0.0,2,0,1,119232.33,0,0,1,1,-1
850,Spain,Female,32,9,0.0,2,1,1,18924.92,0,2,0,1,-1
816,Germany,Female,38,5,130878.75,3,1,0,71905.77,1,1,0,2,-1
788,Spain,Male,34,6,156478.62,1,0,1,181196.76,0,2,1,3,-1
798,France,Male,37,8,0.0,3,0,0,110783.28,0,0,1,1,-1
714,Germany,Female,55,9,180075.22,1,1,1,100127.71,0,1,0,0,-1
531,France,Female,47,6,0.0,1,0,0,194998.34,1,0,0,1,-1
673,France,Female,38,2,170061.92,2,0,0,134901.34,1,0,0,2,-1
570,France,Female,58,8,0.0,1,0,1,116503.92,1,0,0,1,-1
774,France,Male,60,5,85891.55,1,1,0,74135.48,1,0,1,0,-1
468,France,Female,56,10,0.0,3,0,1,62256.87,1,0,0,1,-1
850,France,Female,35,1,211774.31,1,1,0,188574.12,1,0,0,3,-1
519,Spain,Female,57,2,119035.35,2,1,1,29871.79,0,2,0,0,-1
543,Spain,Male,35,10,59408.63,1,1,0,76773.53,0,2,1,1,-1
564,Germany,Female,62,5,114931.35,3,0,1,18260.98,1,1,0,0,-1
833,France,Male,37,8,151226.18,2,1,1,136129.49,0,0,1,3,-1
504,France,Female,49,7,0.0,3,0,1,87822.14,1,0,0,1,-1
842,Spain,Female,44,2,112652.08,2,1,0,126644.98,0,2,0,2,-1
749,France,Male,24,1,0.0,3,1,1,47911.03,0,0,1,1,-1
685,Spain,Female,25,10,128509.63,1,1,0,121562.33,0,2,0,2,-1
590,Spain,Female,51,3,154962.99,3,0,1,191932.27,1,2,0,0,-1
850,Spain,Female,70,5,0.0,1,1,1,705.18,0,2,0,1,-1
761,France,Male,31,7,0.0,3,1,1,166698.18,0,0,1,1,-1
439,Spain,Female,32,3,138901.61,1,1,0,75685.97,0,2,0,2,-1
586,Spain,Female,57,3,0.0,2,0,1,6057.81,0,2,0,1,-1
779,Spain,Female,26,4,174318.13,2,0,1,38296.21,0,2,0,3,-1
484,Germany,Female,34,4,148249.54,1,0,1,33738.27,0,1,0,0,-1
601,France,Female,43,8,0.0,3,0,1,110916.15,1,0,0,1,-1
687,France,Female,72,9,0.0,1,0,1,69829.4,0,0,0,1,-1
754,Spain,Male,39,6,170184.99,2,1,0,89593.26,0,2,1,3,-1
656,Spain,Female,40,10,167878.5,1,0,1,151887.16,0,2,0,0,-1
799,Spain,Female,28,3,142253.65,1,1,0,45042.56,0,2,0,2,-1
839,Spain,Female,33,10,75592.43,1,1,0,62674.42,0,2,0,0,-1
850,France,Male,31,6,67996.23,2,0,0,50129.87,1,0,1,1,-1
549,Spain,Male,25,6,193858.2,1,0,1,21600.11,0,2,1,0,-1
583,France,Male,24,9,135125.28,1,0,0,89801.9,0,0,1,2,-1
445,Spain,Male,62,1,64119.38,1,1,1,76569.64,1,2,1,0,-1
669,France,Male,30,7,95128.86,1,0,0,19799.26,0,0,1,0,-1
594,Spain,Female,49,2,126615.94,2,0,1,123214.74,0,2,0,0,-1
750,Germany,Male,40,5,168286.81,3,1,0,20451.99,1,1,1,2,-1
650,Spain,Female,25,3,86605.5,3,1,0,16649.31,1,2,0,1,-1
554,Germany,Female,37,4,58629.97,1,0,0,182038.6,0,1,0,1,-1
672,Spain,Female,56,2,209767.31,2,1,1,150694.42,1,2,0,0,-1
459,Spain,Female,42,6,129634.25,2,1,1,177683.02,1,2,0,0,-1
776,France,Female,38,2,169824.46,1,1,0,169291.7,0,0,0,3,-1
711,France,Female,25,7,0.0,3,1,1,9679.28,0,0,0,1,-1
816,Spain,Male,67,6,151858.98,1,1,1,72814.31,0,2,1,3,-1
692,France,Female,28,8,95059.02,2,1,0,44420.18,0,0,0,1,-1
611,France,Female,49,2,88915.37,3,0,0,161435.02,1,0,0,1,-1
844,France,Male,18,2,160980.03,1,0,0,145936.28,0,0,1,3,-1
450,Spain,Female,46,5,177619.71,1,1,0,54227.06,0,2,0,2,-1
838,Spain,Female,39,5,166733.92,2,1,0,14279.44,0,2,0,3,-1
803,France,Male,31,9,157120.86,2,1,0,141300.53,0,0,1,3,-1
663,Germany,Female,36,6,77253.5,1,0,0,35817.97,1,1,0,0,-1
710,Germany,Male,43,2,140080.32,3,1,1,157908.19,1,1,1,0,-1
700,France,Female,82,2,0.0,2,0,1,182055.36,0,0,0,1,-1
684,Spain,Male,41,2,119782.72,2,0,0,120284.67,0,2,1,2,-1
531,France,Female,63,1,114715.71,1,0,1,24506.95,1,0,0,0,-1
692,Spain,Male,28,9,118945.09,1,0,0,16064.25,1,2,1,2,-1
774,France,Female,28,1,71264.02,2,0,1,68759.57,0,0,0,1,-1
714,Germany,Male,42,2,177640.09,1,0,1,47166.55,0,1,1,0,-1
702,France,Female,46,9,98444.19,1,0,1,109563.28,0,0,0,0,-1
511,Spain,Female,29,9,0.0,2,0,1,140676.98,0,2,0,1,-1
790,Spain,Female,46,9,0.0,1,0,0,14679.81,1,2,0,1,-1
793,France,Female,33,0,0.0,1,0,0,175544.02,0,0,0,1,-1
681,Spain,Male,65,7,134714.7,2,0,1,190419.81,0,2,1,0,-1
421,Germany,Male,28,8,122384.22,3,1,1,89017.38,1,1,1,1,-1
497,Spain,Male,27,9,75263.16,1,1,1,164825.04,0,2,1,0,-1
841,France,Female,36,5,156021.31,1,0,0,122662.98,0,0,0,3,-1
732,Spain,Female,69,9,137453.43,1,0,1,110932.24,1,2,0,0,-1
708,Spain,Female,41,5,0.0,1,0,1,157003.99,0,2,0,1,-1
553,Spain,Female,48,3,0.0,1,0,1,30730.95,1,2,0,1,-1
818,France,Female,31,1,186796.37,1,0,0,178252.63,0,0,0,3,-1
505,France,Male,49,7,80001.23,1,0,0,135180.11,0,0,1,0,-1
714,Germany,Male,21,6,86402.52,2,0,0,27330.59,0,1,1,1,-1
667,Germany,Female,48,1,97133.92,2,0,0,113316.77,1,1,0,1,-1
678,Germany,Female,25,10,76968.12,2,0,1,131501.72,0,1,0,1,-1
629,Germany,Female,45,7,129818.39,3,1,0,9217.55,1,1,0,2,-1
502,Germany,Female,32,1,173340.83,1,0,1,122763.95,0,1,0,0,-1
679,France,Female,43,4,0.0,3,1,0,115136.51,1,0,0,1,-1
703,France,Female,51,3,0.0,3,1,1,77294.56,1,0,0,1,-1
599,France,Male,58,4,0.0,1,0,0,176407.15,1,0,1,1,-1
609,Spain,Male,61,1,0.0,1,1,0,22447.85,1,2,1,1,-1
555,France,Male,51,5,0.0,3,1,0,189122.89,1,0,1,1,-1
714,Germany,Female,36,1,101609.01,2,1,1,447.73,0,1,0,0,-1
708,Germany,Female,42,8,192390.52,2,1,0,823.36,0,1,0,2,-1
592,Spain,Male,37,9,0.0,3,1,1,10656.89,0,2,1,1,-1
850,Germany,Female,44,5,128605.32,1,0,1,171096.2,0,1,0,0,-1
724,France,Female,37,10,68598.56,1,1,0,157862.82,0,0,0,1,-1
697,Spain,Female,25,5,82931.85,2,1,1,128373.88,0,2,0,0,-1
684,France,Female,48,3,73309.38,1,0,0,21228.34,1,0,0,0,-1
789,Germany,Male,33,8,151607.56,1,1,0,4389.4,0,1,1,3,-1
807,Spain,Female,43,0,0.0,2,0,1,85523.24,0,2,0,1,-1
529,Spain,Male,63,4,96134.11,3,1,0,108732.96,1,2,1,1,-1
649,Germany,Male,70,9,116854.71,2,0,1,107125.79,0,1,1,0,-1
594,France,Male,27,0,197041.8,1,0,0,151912.49,0,0,1,2,-1
749,Germany,Female,44,0,71497.79,2,0,0,151083.8,0,1,0,1,-1
661,Spain,Female,28,7,95357.49,1,0,0,102297.15,0,2,0,0,-1
838,Spain,Male,43,9,123105.88,2,1,0,145765.83,0,2,1,2,-1
610,Spain,Male,29,9,0.0,3,0,1,83912.24,0,2,1,1,-1
587,Spain,Male,62,7,121286.27,1,0,1,6776.92,0,2,1,0,-1
811,Germany,Female,28,4,167738.82,2,1,1,9903.42,0,1,0,3,-1
646,France,Female,42,3,175159.9,2,0,0,67124.48,1,0,0,2,-1
521,Germany,Male,52,5,116497.31,3,0,0,53793.1,1,1,1,2,-1
650,Spain,Male,71,0,0.0,1,1,1,175380.77,0,2,1,1,-1
547,France,Female,48,1,179380.74,2,0,1,69263.1,0,0,0,0,-1
609,Spain,Male,53,10,0.0,1,1,1,154642.91,0,2,1,1,-1
714,France,Female,72,3,0.0,1,1,1,86733.61,0,0,0,1,-1
602,Spain,Female,22,7,141604.76,1,1,0,30379.6,0,2,0,2,-1
545,Spain,Female,74,3,0.0,2,1,1,161326.73,0,2,0,1,-1
640,Germany,Male,33,8,81677.22,2,0,0,34925.56,0,1,1,1,-1
731,France,Female,52,10,0.0,1,1,1,24998.75,1,0,0,1,-1
624,Spain,Female,23,6,0.0,2,0,1,196668.51,0,2,0,1,-1
712,France,Male,36,2,100749.5,3,0,0,70758.37,1,0,1,2,-1
756,Germany,Female,39,3,100717.85,3,1,1,73406.04,1,1,0,1,-1
790,France,Female,26,4,141581.71,2,0,0,98309.27,0,0,0,2,-1
420,Germany,Female,34,1,135549.9,1,0,0,149471.13,1,1,0,2,-1
690,France,Female,42,3,92578.14,2,0,0,70810.6,0,0,0,1,-1
608,France,Female,62,8,144976.5,1,0,0,175836.03,1,0,0,2,-1
731,France,Female,47,1,115414.19,3,0,0,191734.67,1,0,0,2,-1
698,Germany,Male,56,1,112414.81,2,0,0,93982.02,1,1,1,2,-1
779,Germany,Male,33,1,158456.76,1,1,1,197000.92,1,1,1,3,-1
727,Spain,Female,57,1,109679.72,1,0,1,753.37,0,2,0,0,-1
593,Germany,Female,29,5,101713.84,3,1,0,134594.99,0,1,0,2,-1
434,Germany,Female,58,9,125801.03,2,1,0,60891.8,1,1,0,2,-1
747,Germany,Female,32,5,67495.04,2,0,1,77370.37,0,1,0,1,-1
712,Germany,Female,49,5,154776.42,2,0,0,196257.68,0,1,0,2,-1
699,Spain,Male,26,6,79932.41,1,0,0,150242.44,0,2,1,0,-1
807,Germany,Female,31,1,93460.47,2,0,0,172782.69,0,1,0,1,-1
785,Spain,Female,61,4,129855.72,2,1,0,170214.82,1,2,0,2,-1
363,Spain,Female,28,6,146098.43,3,1,0,100615.14,1,2,0,2,-1
780,France,Male,76,10,121313.88,1,0,1,64872.33,0,0,1,0,-1
711,France,Male,51,7,0.0,3,1,0,38409.79,1,0,1,1,-1
791,France,Male,37,2,163789.49,2,1,0,75832.53,0,0,1,3,-1
771,France,Female,66,7,143773.07,1,1,1,130827.88,0,0,0,0,-1
519,France,Female,21,1,146329.57,2,1,1,194867.27,0,0,0,0,-1
499,Germany,Female,55,4,126817.65,2,1,0,123269.71,0,1,0,2,-1
628,France,Female,46,1,46870.43,4,1,0,31272.14,1,0,0,1,-1
534,France,Female,55,8,116973.26,3,1,0,122066.5,1,0,0,2,-1
681,Spain,Male,67,7,0.0,2,0,1,163714.92,0,2,1,1,-1
790,Spain,Male,46,8,182364.53,1,0,0,139266.48,1,2,1,3,-1
534,Spain,Female,33,3,151233.62,1,0,0,199336.63,0,2,0,2,-1
683,France,Male,30,10,57657.49,1,0,0,79240.9,0,0,1,1,-1
811,Germany,Male,52,10,76915.4,1,0,0,146359.81,1,1,1,0,-1
823,Spain,Female,46,3,81576.75,1,1,1,28370.95,1,2,0,0,-1
850,France,Female,37,7,153147.75,1,1,1,152235.3,0,0,0,3,-1
598,France,Female,43,5,0.0,3,1,1,100722.72,1,0,0,1,-1
635,Spain,Male,50,7,159453.64,2,0,0,54560.79,1,2,1,2,-1
539,Germany,Female,38,8,82407.51,1,1,0,13123.41,0,1,0,0,-1
794,France,Female,41,7,176845.41,3,1,0,166526.26,1,0,0,3,-1
611,Spain,Male,52,7,0.0,1,0,1,73585.18,1,2,1,1,-1
457,France,Male,41,8,73700.12,3,1,1,185750.02,1,0,1,1,-1
768,Spain,Female,44,6,60603.4,1,1,1,178045.97,0,2,0,0,-1
846,France,Female,41,5,0.0,3,1,0,3440.47,1,0,0,1,-1
571,France,Female,23,10,151097.28,1,0,1,17163.75,0,0,0,0,-1
794,Spain,Male,45,8,88656.37,2,1,0,116547.31,0,2,1,1,-1
359,France,Female,44,6,128747.69,1,1,0,146955.71,1,0,0,2,-1
523,France,Female,73,7,0.0,2,0,0,130883.9,1,0,0,1,-1
799,Germany,Male,28,7,167658.33,2,1,1,111138.25,0,1,1,3,-1
603,Spain,Female,42,8,91611.12,1,0,0,144675.3,1,2,0,0,-1
792,Germany,Female,59,9,101609.77,1,0,0,161479.19,1,1,0,2,-1
755,France,Male,62,1,127706.33,2,0,1,142377.69,0,0,1,0,-1
504,Germany,Male,56,9,104217.3,1,0,0,55857.48,1,1,1,2,-1
556,France,Female,43,6,0.0,3,0,0,125154.57,1,0,0,1,-1
465,France,Male,25,2,78247.31,2,1,1,10472.31,0,0,1,0,-1
616,Germany,Female,41,1,103560.57,1,1,0,236.45,1,1,0,2,-1
819,Germany,Female,49,1,120656.86,4,0,0,166164.3,1,1,0,2,-1
806,France,Male,48,4,164701.68,1,1,1,21439.49,0,0,1,3,-1
755,Germany,Female,30,6,154221.37,2,0,1,62688.55,0,1,0,3,-1
850,Spain,Female,29,1,0.0,2,1,1,197996.65,0,2,0,1,-1
710,Spain,Female,51,4,93656.95,1,0,1,141400.51,1,2,0,0,-1
596,Spain,Male,30,6,121345.88,4,1,0,41921.75,1,2,1,2,-1
735,Spain,Male,50,9,0.0,1,0,0,166677.35,1,2,1,1,-1
449,France,Male,52,6,0.0,2,0,1,123622.0,0,0,1,1,-1
595,Germany,Female,25,7,106570.34,2,0,1,177025.79,0,1,0,0,-1
796,Germany,Male,39,5,86350.87,2,0,0,105080.53,0,1,1,1,-1
850,France,Female,37,3,212778.2,1,0,1,69372.88,0,0,0,3,-1
764,Spain,Female,33,9,168964.77,1,0,1,118982.51,0,2,0,3,-1
592,France,Female,38,8,119278.01,2,0,1,19370.73,0,0,0,0,-1
850,Spain,Female,29,10,0.0,2,1,1,94815.04,0,2,0,1,-1
773,Germany,Female,42,8,152324.66,2,1,0,171733.22,0,1,0,3,-1
769,Germany,Male,27,7,188614.07,1,1,0,171344.09,0,1,1,3,-1
834,France,Female,49,8,160602.25,2,1,0,129273.94,0,0,0,3,-1
641,France,Male,77,9,0.0,3,1,1,81514.06,0,0,1,1,-1
656,France,Male,18,10,151762.74,1,0,1,127014.32,0,0,1,0,-1
525,Spain,Female,25,10,0.0,2,1,0,69361.95,0,2,0,1,-1
350,Spain,Male,54,1,152677.48,1,1,1,191973.49,1,2,1,0,-1
538,Spain,Female,31,0,0.0,2,0,0,179453.66,0,2,0,1,-1
504,Germany,Male,32,8,170291.22,2,0,1,15658.99,0,1,1,0,-1
712,Spain,Male,53,2,111061.01,2,0,0,26542.17,0,2,1,2,-1
506,Germany,Female,41,3,57745.76,1,1,0,4035.46,0,1,0,1,-1
704,Germany,Female,54,6,133656.91,3,1,0,145071.33,1,1,0,2,-1
554,France,Male,24,10,0.0,1,0,0,92180.62,0,0,1,1,-1
812,Spain,Female,44,8,0.0,3,1,0,66926.83,1,2,0,1,-1
570,France,Female,18,4,82767.42,1,1,0,71811.9,0,0,0,0,-1
712,France,Female,42,1,87842.98,1,0,0,92223.59,0,0,0,0,-1
602,France,Male,23,7,113758.48,2,0,0,84077.6,0,0,1,2,-1
554,Spain,Female,34,8,0.0,1,0,1,106981.03,0,2,0,1,-1
814,Germany,Male,44,8,95488.82,2,0,0,107013.59,0,1,1,1,-1
683,France,Male,30,8,110829.52,2,0,0,24938.84,0,0,1,2,-1
792,France,Male,50,9,0.0,4,1,1,194700.81,1,0,1,1,-1
790,Germany,Male,42,1,85839.62,1,1,0,198182.73,0,1,1,0,-1
828,Spain,Male,28,8,134766.85,1,1,0,79355.87,0,2,1,2,-1
758,Spain,Female,40,5,93499.82,2,0,0,123218.81,0,2,0,1,-1
672,Germany,Female,21,3,165878.76,2,1,1,164537.17,0,1,0,0,-1
584,Germany,Female,54,1,77354.37,1,0,0,138192.98,1,1,0,0,-1
850,France,Female,39,7,79259.99,1,0,1,186910.74,0,0,0,0,-1
584,Spain,Female,59,1,0.0,1,0,1,130260.11,1,2,0,1,-1
595,Spain,Female,23,10,101126.66,2,0,0,37042.8,0,2,0,2,-1
533,Spain,Female,52,7,0.0,1,0,1,194113.99,1,2,0,1,-1
642,Germany,Female,30,5,129753.69,1,1,0,582.53,0,1,0,2,-1
760,Spain,Male,28,1,141038.57,2,0,0,16287.38,0,2,1,2,-1
439,France,Male,28,7,110976.23,2,1,0,138526.96,0,0,1,2,-1
793,Spain,Female,36,0,0.0,1,0,0,148993.47,0,2,0,1,-1
439,France,Female,43,8,0.0,1,0,1,104889.3,0,0,0,1,-1
697,Germany,Female,74,3,108071.36,2,1,1,16445.79,0,1,0,0,-1
714,France,Female,51,4,88308.87,3,0,0,5862.53,1,0,0,1,-1
683,Spain,Female,24,8,98567.1,1,1,0,187987.01,0,2,0,0,-1
577,France,Female,26,1,180530.51,1,0,0,123454.62,0,0,0,2,-1
818,France,Female,49,2,0.0,1,0,1,192298.84,1,0,0,1,-1
651,France,Female,65,0,0.0,2,1,1,190454.04,0,0,0,1,-1
714,Spain,Male,45,8,150900.29,2,0,1,139889.15,0,2,1,0,-1
604,Spain,Male,23,9,124577.33,1,1,1,7267.25,0,2,1,0,-1
425,Spain,Female,22,7,169649.73,2,0,1,136365.0,1,2,0,0,-1
350,Germany,Male,39,0,109733.2,2,0,0,123602.11,1,1,1,2,-1
464,Spain,Female,34,5,76001.57,1,1,1,158668.87,0,2,0,0,-1
731,Spain,Male,25,8,96950.21,1,1,0,97877.92,0,2,1,0,-1
559,France,Female,70,9,0.0,1,1,1,122996.76,0,0,0,1,-1
640,Germany,Male,39,9,131607.28,4,0,1,6981.43,1,1,1,1,-1
770,Spain,Male,55,9,63127.41,2,1,0,185211.28,1,2,1,1,-1
579,France,Male,31,9,0.0,1,0,1,139048.0,0,0,1,1,-1
831,France,Male,30,2,0.0,2,0,1,3430.38,0,0,1,1,-1
634,Germany,Female,31,8,76798.92,1,0,0,196021.73,0,1,0,0,-1
776,France,Female,29,7,178171.04,2,1,1,115818.51,0,0,0,3,-1
796,Spain,Male,67,5,0.0,2,0,1,54871.02,0,2,1,1,-1
773,Spain,Female,33,10,0.0,1,1,1,98820.09,0,2,0,1,-1
625,Spain,Female,69,1,107569.96,1,1,1,182336.45,0,2,0,0,-1
535,Germany,Male,20,9,134874.4,1,1,1,118825.56,0,1,1,0,-1
503,Spain,Male,25,7,0.0,1,0,1,192841.13,0,2,1,1,-1
625,France,Male,36,9,108546.16,3,1,0,133807.77,1,0,1,2,-1
452,Spain,Male,44,3,88915.85,1,1,0,69697.74,0,2,1,0,-1
624,Germany,Male,27,9,94667.29,2,0,1,4470.52,0,1,1,0,-1
623,France,Male,21,10,0.0,2,0,1,135851.3,0,0,1,1,-1
565,Germany,Female,58,3,108888.24,3,0,1,135875.51,1,1,0,1,-1
705,Spain,Female,24,5,177799.83,2,0,0,79886.06,0,2,0,2,-1
358,Spain,Female,52,8,143542.36,3,1,0,141959.11,1,2,0,2,-1
488,Spain,Female,39,9,140553.46,1,0,0,12440.44,0,2,0,2,-1
733,Spain,Female,30,0,83319.28,1,0,0,57769.2,0,2,0,0,-1
717,Spain,Male,35,1,0.0,3,0,0,174770.14,1,2,1,1,-1
476,Spain,Female,69,1,105303.73,1,0,1,134260.34,0,2,0,0,-1
845,Germany,Female,41,2,81733.74,2,0,0,199761.29,0,1,0,1,-1
824,Germany,Male,60,8,134250.17,3,0,0,153046.16,1,1,1,2,-1
534,France,Male,62,2,0.0,2,0,0,42763.12,1,0,1,1,-1
556,Spain,Female,48,8,168522.37,1,1,1,151310.16,0,2,0,0,-1
841,France,Male,74,9,108131.53,1,0,1,60830.38,0,0,1,0,-1
728,Spain,Female,37,4,0.0,1,0,0,4539.38,0,2,0,1,-1
716,Germany,Female,18,3,128743.8,1,0,0,197322.13,0,1,0,2,-1
545,Spain,Female,39,6,0.0,1,0,0,38410.74,1,2,0,1,-1
451,Spain,Female,23,9,0.0,2,0,1,48021.71,0,2,0,1,-1
667,Germany,Female,37,5,92171.35,3,1,0,178106.34,1,1,0,1,-1
668,Spain,Female,24,7,173962.32,1,0,0,106457.11,1,2,0,2,-1
579,Germany,Female,64,6,145215.43,1,1,1,164083.72,0,1,0,0,-1
840,France,Female,39,1,94968.97,1,1,0,84487.62,0,0,0,0,-1
520,Germany,Male,34,8,120018.86,2,1,1,343.38,0,1,1,0,-1
712,France,Female,37,1,106881.5,2,0,0,169386.81,0,0,0,2,-1
850,France,Male,63,8,169832.57,1,0,0,184107.26,1,0,1,3,-1
569,Spain,Female,34,6,144855.34,1,0,0,196555.32,0,2,0,2,-1
640,France,Male,63,2,68432.45,2,1,1,112503.24,1,0,1,0,-1
716,France,Female,52,7,65971.61,2,1,0,14608.0,1,0,0,1,-1
655,Spain,Male,38,3,250898.09,3,0,1,81054.0,1,2,1,0,-1
531,Spain,Male,70,1,0.0,2,0,0,99503.19,0,2,1,1,-1
594,France,Male,61,3,62391.22,1,1,1,192434.11,0,0,1,0,-1
768,France,Male,42,5,0.0,3,0,0,60686.4,0,0,1,1,-1
593,Germany,Male,74,5,161434.36,2,1,1,65532.17,0,1,1,0,-1
722,Germany,Female,48,10,138311.76,1,1,1,3472.63,1,1,0,0,-1
765,Spain,Female,32,9,178095.55,1,0,0,47247.56,0,2,0,3,-1
704,France,Male,32,7,127785.17,4,0,0,184464.7,1,0,1,2,-1
736,Germany,Male,57,9,95295.39,1,1,0,28434.44,1,1,1,0,-1
836,Spain,Male,57,4,101247.06,1,1,0,37141.62,1,2,1,2,-1
606,Germany,Male,65,10,126306.64,3,0,0,7861.68,1,1,1,2,-1
